condition_name,prefix_k,layer,mean_projection,std_projection,n_records,n_prompts
harmful_k00,0,16,1.2711317947425558,1.2455928755002355,403,25
harmful_k00,0,20,1.6116638940853754,1.9312537278841397,403,25
harmful_k00,0,24,0.6654692240447619,3.0966129844281607,403,25
harmful_k00,0,27,-0.3761074927545363,3.9459260075122713,403,25
harmful_k03,3,16,0.17231744421758685,1.24204380666801,1124,25
harmful_k03,3,20,-0.374242789380491,1.5867546171466889,1124,25
harmful_k03,3,24,-3.1102096075689243,2.2014910419505664,1124,25
harmful_k03,3,27,-5.2851506026189945,2.8426404489441253,1124,25
harmful_k10,10,16,-0.2704122773092062,1.3178638331634196,1046,25
harmful_k10,10,20,-0.822312907552628,1.6840974043602839,1046,25
harmful_k10,10,24,-3.462938822934094,2.429671112826961,1046,25
harmful_k10,10,27,-5.810834560066063,3.2549561495936783,1046,25
