condition_name,prefix_k,layer,gen_token_pos,mean_projection,std_projection,n_records,n_prompts
harmful_k00,0,16,0,3.506875,0.44405615905629925,25,25
harmful_k00,0,16,1,2.2303125,0.4611808591330836,25,25
harmful_k00,0,16,2,2.081171875,0.4677513776766023,25,25
harmful_k00,0,16,3,1.83677734375,0.5326253165060811,25,25
harmful_k00,0,16,4,2.12875,0.8513119614242846,25,25
harmful_k00,0,16,5,1.875546875,0.8208028668269904,25,25
harmful_k00,0,16,6,1.865,0.8074379382775632,25,25
harmful_k00,0,16,7,1.50107421875,1.0728872719781002,20,20
harmful_k00,0,16,8,0.7677176339285714,0.6521469073256315,14,14
harmful_k00,0,16,9,0.8872767857142857,0.5311104727487426,14,14
harmful_k00,0,16,10,0.7525111607142857,0.8954402439078372,14,14
harmful_k00,0,16,11,0.5198102678571429,0.8512322714027275,14,14
harmful_k00,0,16,12,0.6452287946428571,0.7384933077524943,14,14
harmful_k00,0,16,13,0.552734375,0.6125750964253418,14,14
harmful_k00,0,16,14,0.4237583705357143,0.7209541399202113,14,14
harmful_k00,0,16,15,0.6297433035714286,0.5313157063779603,14,14
harmful_k00,0,16,16,0.9806082589285714,0.21797120591257432,14,14
harmful_k00,0,16,17,1.0440848214285714,0.6671295375667107,7,7
harmful_k00,0,16,18,1.1962890625,0.84056337265388,4,4
harmful_k00,0,16,19,1.1572265625,0.565209538587032,4,4
harmful_k00,0,16,20,0.7001953125,0.39292778271794504,4,4
harmful_k00,0,16,21,0.47607421875,0.6248176308639016,4,4
harmful_k00,0,16,22,0.7265625,0.1992059840681039,4,4
harmful_k00,0,16,23,0.54638671875,0.26181772362864825,4,4
harmful_k00,0,16,24,0.912109375,0.7094953392902658,3,3
harmful_k00,0,16,25,1.0169270833333333,0.5711190429875551,3,3
harmful_k00,0,16,26,0.7962239583333334,0.3003010404995797,3,3
harmful_k00,0,16,27,0.9309895833333334,0.08234068621751238,3,3
harmful_k00,0,16,28,0.9205729166666666,0.2695689889038534,3,3
harmful_k00,0,16,29,0.6962890625,0.28035679019701004,2,2
harmful_k00,0,16,30,0.56884765625,0.5158288726038583,2,2
harmful_k00,0,16,31,-0.09375,0.7457766832826869,2,2
harmful_k00,0,16,32,-0.048828125,0.4308931947855524,2,2
harmful_k00,0,16,33,-0.114990234375,0.3097044837521158,2,2
harmful_k00,0,16,34,-0.064453125,1.2512475463965078,2,2
harmful_k00,0,16,35,-0.429443359375,0.4367627334965735,2,2
harmful_k00,0,16,36,-1.2421875,0.18782523875267668,2,2
harmful_k00,0,16,37,-2.109375,0.04419417382415922,2,2
harmful_k00,0,16,38,-1.21484375,0.2154465973927762,2,2
harmful_k00,0,16,39,-1.13671875,0.3590776623212937,2,2
harmful_k00,0,16,40,-0.71875,0.24859222776089562,2,2
harmful_k00,0,16,41,-1.26953125,0.8673106612991247,2,2
harmful_k00,0,16,42,-1.66796875,0.016572815184059706,2,2
harmful_k00,0,16,43,-1.6796875,0.15467960838455727,2,2
harmful_k00,0,16,44,-2.1484375,0.14363106492851746,2,2
harmful_k00,0,16,45,-2.01171875,0.7789223136508062,2,2
harmful_k00,0,16,46,-1.48828125,0.9446504654914033,2,2
harmful_k00,0,20,0,5.45625,0.4553644373832166,25,25
harmful_k00,0,20,1,3.07875,0.686326087017938,25,25
harmful_k00,0,20,2,2.699619140625,0.8530328721826435,25,25
harmful_k00,0,20,3,2.036875,1.0370548626210367,25,25
harmful_k00,0,20,4,2.3053125,1.208999457195908,25,25
harmful_k00,0,20,5,2.3121875,1.2612338625805253,25,25
harmful_k00,0,20,6,2.4715625,1.3729211617117865,25,25
harmful_k00,0,20,7,1.926953125,1.3925693159415409,20,20
harmful_k00,0,20,8,1.3588169642857142,1.3752405830750887,14,14
harmful_k00,0,20,9,1.4333147321428572,1.1134435655602593,14,14
harmful_k00,0,20,10,1.552734375,1.4107639475396245,14,14
harmful_k00,0,20,11,1.0913783482142858,1.3732775971852835,14,14
harmful_k00,0,20,12,1.059814453125,1.251309175093879,14,14
harmful_k00,0,20,13,0.845703125,1.3636972533816694,14,14
harmful_k00,0,20,14,0.5385393415178571,1.1454846048050595,14,14
harmful_k00,0,20,15,0.4741908482142857,0.9201711823837561,14,14
harmful_k00,0,20,16,0.8297991071428571,0.672911408343408,14,14
harmful_k00,0,20,17,0.8646763392857143,1.0480274832701857,7,7
harmful_k00,0,20,18,1.056884765625,1.4807556733200857,4,4
harmful_k00,0,20,19,1.5751953125,0.9622776848145537,4,4
harmful_k00,0,20,20,0.3995361328125,1.2586469468931596,4,4
harmful_k00,0,20,21,0.0255126953125,1.4403044599850936,4,4
harmful_k00,0,20,22,0.44482421875,1.414556202841339,4,4
harmful_k00,0,20,23,0.575927734375,0.9960989758722189,4,4
harmful_k00,0,20,24,1.2356770833333333,1.4477193501268715,3,3
harmful_k00,0,20,25,1.2083333333333333,0.2806344537197515,3,3
harmful_k00,0,20,26,0.8268229166666666,0.1648202984898123,3,3
harmful_k00,0,20,27,1.0911458333333333,0.1478882381718821,3,3
harmful_k00,0,20,28,0.9153645833333334,0.32288253767898445,3,3
harmful_k00,0,20,29,0.515625,0.2596407712169354,2,2
harmful_k00,0,20,30,0.3896484375,0.17815776322864185,2,2
harmful_k00,0,20,31,-0.556884765625,0.7481935521636955,2,2
harmful_k00,0,20,32,-0.77734375,0.09391261937633834,2,2
harmful_k00,0,20,33,-0.904296875,0.05800485314420897,2,2
harmful_k00,0,20,34,-0.876068115234375,1.2469748674818675,2,2
harmful_k00,0,20,35,-1.4375,0.5855728031701096,2,2
harmful_k00,0,20,36,-2.328125,0.2651650429449553,2,2
harmful_k00,0,20,37,-3.0625,0.04419417382415922,2,2
harmful_k00,0,20,38,-2.390625,0.1767766952966369,2,2
harmful_k00,0,20,39,-2.3515625,0.09943689110435824,2,2
harmful_k00,0,20,40,-2.078125,0.08838834764831845,2,2
