condition,layer,compliance_n,refusal_n,compliance_mean_projection,refusal_mean_projection,compliance_minus_refusal_mean
harmful_k03,20,17,8,-0.12091075434105862,0.8078118554077212,-0.9287226097487797
harmful_k03,24,17,8,-2.6051772479270965,-1.2149735440649136,-1.3902037038621828
harmful_k03,27,17,8,-4.291707331307689,-2.4385461218513766,-1.8531612094563128
