condition,layer,label_group,n_prompts,mean_projection,median_projection,std_projection,min_projection,max_projection
harmful_k03,20,compliance,17,-0.12091075434105862,-0.2314219373337765,0.7016293034307555,-1.8269510472074468,1.038300209857048
harmful_k03,20,refusal,8,0.8078118554077212,0.5846680986120345,0.9492928810875186,-0.5604845412234043,2.538783482142857
harmful_k03,24,compliance,17,-2.6051772479270965,-2.6874766248337765,0.9359129461982592,-4.614340924202128,-1.1707296168550532
harmful_k03,24,refusal,8,-1.2149735440649136,-1.7729550625415558,1.5671364426025163,-2.819657995345745,2.177455357142857
harmful_k03,27,compliance,17,-4.291707331307689,-4.348154920212766,1.061232789738955,-6.3814827127659575,-2.6603094872007977
harmful_k03,27,refusal,8,-2.4385461218513766,-3.1708594788896276,2.0655183106183057,-4.630443816489362,2.075892857142857
