condition,layer,token_position,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k00,20,10,14,14,1.552734375,1.4107639475396245,-2.96875,2.375,generated_token
harmful_k00,20,11,14,14,1.0913783482142858,1.3732775971852835,-2.578125,2.640625,generated_token
harmful_k00,20,12,14,14,1.059814453125,1.251309175093879,-2.5625,2.375,generated_token
harmful_k00,20,13,14,14,0.845703125,1.3636972533816694,-3.015625,1.65625,generated_token
harmful_k00,20,14,14,14,0.5385393415178571,1.1454846048050595,-2.890625,1.4375,generated_token
harmful_k00,20,15,14,14,0.4741908482142857,0.9201711823837561,-1.296875,1.1484375,generated_token
harmful_k00,20,16,14,14,0.8297991071428571,0.672911408343408,-0.890625,1.3125,generated_token
harmful_k00,20,17,7,7,0.8646763392857143,1.0480274832701855,-1.2109375,1.96875,generated_token
harmful_k00,20,18,4,4,1.056884765625,1.480755673320086,-0.443359375,2.921875,generated_token
harmful_k00,20,19,4,4,1.5751953125,0.9622776848145537,0.44140625,2.78125,generated_token
harmful_k00,20,20,4,4,0.3995361328125,1.2586469468931596,-0.5703125,2.25,generated_token
harmful_k00,20,21,4,4,0.0255126953125,1.4403044599850936,-1.5234375,1.9296875,generated_token
harmful_k00,20,22,4,4,0.44482421875,1.4145562028413392,-0.375,2.5625,generated_token
harmful_k00,20,23,4,4,0.575927734375,0.9960989758722189,-0.376953125,1.5234375,generated_token
harmful_k00,20,24,3,3,1.2356770833333333,1.4477193501268715,-0.40234375,2.34375,generated_token
harmful_k00,20,25,3,3,1.2083333333333333,0.2806344537197515,0.8984375,1.4453125,generated_token
harmful_k00,20,26,3,3,0.8268229166666666,0.1648202984898123,0.63671875,0.9296875,generated_token
harmful_k00,20,27,3,3,1.0911458333333333,0.1478882381718821,0.921875,1.1953125,generated_token
harmful_k00,20,28,3,3,0.9153645833333334,0.32288253767898445,0.54296875,1.1171875,generated_token
harmful_k00,20,29,2,2,0.515625,0.2596407712169354,0.33203125,0.69921875,generated_token
harmful_k00,20,30,2,2,0.3896484375,0.17815776322864185,0.263671875,0.515625,generated_token
harmful_k00,20,31,2,2,-0.556884765625,0.7481935521636955,-1.0859375,-0.02783203125,generated_token
harmful_k00,20,32,2,2,-0.77734375,0.09391261937633834,-0.84375,-0.7109375,generated_token
harmful_k00,20,33,2,2,-0.904296875,0.05800485314420897,-0.9453125,-0.86328125,generated_token
harmful_k00,20,34,2,2,-0.876068115234375,1.2469748674818675,-1.7578125,0.00567626953125,generated_token
harmful_k00,20,35,2,2,-1.4375,0.5855728031701096,-1.8515625,-1.0234375,generated_token
harmful_k00,20,36,2,2,-2.328125,0.2651650429449553,-2.515625,-2.140625,generated_token
harmful_k00,20,37,2,2,-3.0625,0.04419417382415922,-3.09375,-3.03125,generated_token
harmful_k00,20,38,2,2,-2.390625,0.1767766952966369,-2.515625,-2.265625,generated_token
harmful_k00,20,39,2,2,-2.3515625,0.09943689110435824,-2.421875,-2.28125,generated_token
harmful_k00,20,40,2,2,-2.078125,0.08838834764831845,-2.140625,-2.015625,generated_token
harmful_k00,20,41,2,2,-1.951171875,1.7263349150062195,-3.171875,-0.73046875,generated_token
harmful_k00,20,42,2,2,-2.84375,0.02209708691207961,-2.859375,-2.828125,generated_token
harmful_k00,20,43,2,2,-3.015625,0.4198446513295126,-3.3125,-2.71875,generated_token
harmful_k00,20,44,2,2,-3.2578125,0.03314563036811941,-3.28125,-3.234375,generated_token
harmful_k00,20,45,2,2,-3.0625,0.4419417382415922,-3.375,-2.75,generated_token
harmful_k00,20,46,2,2,-2.42578125,1.69595142050211,-3.625,-1.2265625,generated_token
harmful_k00,24,0,25,25,5.31,0.22242449561592814,4.90625,5.6875,generated_token
harmful_k00,24,1,25,25,3.22642578125,1.0965888422645405,0.09619140625,4.625,generated_token
harmful_k00,24,2,25,25,2.6025,1.4189392770217475,-2.234375,3.4375,generated_token
harmful_k00,24,3,25,25,1.233125,1.8934969255576715,-5.3125,2.203125,generated_token
harmful_k00,24,4,25,25,1.2359375,2.0637847289951208,-5.75,2.421875,generated_token
harmful_k00,24,5,25,25,1.7496875,1.722432548778368,-3.890625,2.90625,generated_token
harmful_k00,24,6,25,25,2.18125,2.186512751551043,-4.78125,3.90625,generated_token
harmful_k00,24,7,20,20,1.1068359375,2.366089490371582,-5.40625,3.578125,generated_token
harmful_k00,24,8,14,14,0.8928571428571429,2.3520958748772394,-4.65625,2.46875,generated_token
harmful_k00,24,9,14,14,1.1595982142857142,2.1493687105274986,-3.75,2.421875,generated_token
